Brand,Models,Series,Issues,Issues Description,Price
Xiaomi,Mi Series,Xiaomi Mi Play,Mic Issues,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi Max 3,Back glass,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi Max 2,Screen / LCD,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi Max,Battery,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi Mix 3,Charging port,screen replacement,100
Xiaomi,Mi Series,Xiaomi MI Mix 2S,Speaker,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi Mix 2,Front Camera,screen replacement,100
Xiaomi,Mi Series,Xiaomi Mi Mix,Rear Camera,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 9S,Mic Issues,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 9 Pro,Back glass,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 9,Screen / LCD,screen replacement,100
Xiaomi,Note Series,Xiaomi Mi Note 10 Pro,Battery,screen replacement,100
Xiaomi,Note Series,Xiaomi Mi Note 10,Charging port,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 8T,Speaker,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 8 Pro,Front Camera,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 8,Rear Camera,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 7 Pro,Mic Issues,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 7,Back glass,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 6 Pro,Screen / LCD,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 5A Prime,Battery,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 5A,Charging port,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 5 Pro,Speaker,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 5,Front Camera,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 4X,Rear Camera,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 4,Mic Issues,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 3 Pro,Back glass,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 3,Screen / LCD,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 2,Battery,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 4G,Charging port,screen replacement,100
Xiaomi,Note Series,Xiaomi Redmi Note 3G,Speaker,screen replacement,100
Xiaomi,Note Series,Xiaomi Mi Note 2,Front Camera,screen replacement,100
Xiaomi,Note Series,Xiaomi Mi Note 1,Rear Camera,screen replacement,100
Xiaomi,Note Series,Xiaomi Mi Note Pro,Mic Issues,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi K30 Pro / Poco F2 Pro,Back glass,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi K30 / Poco X2,Screen / LCD,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi K20 Pro,Battery,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi K20,Charging port,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 9A,Speaker,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 8A,Front Camera,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 8,Rear Camera,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 7A,Mic Issues,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 7,Back glass,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 6A,Screen / LCD,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 6,Battery,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 5A,Charging port,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 5 Plus,Speaker,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 5,Front Camera,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 4X,Rear Camera,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 4A,Mic Issues,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 4,Back glass,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 3S,Screen / LCD,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 3,Battery,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 2,Charging port,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi 1S,Speaker,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi Pro,Front Camera,screen replacement,100
Xiaomi,Redmi Series,Xiaomi Redmi S2,Rear Camera,screen replacement,100
Xiaomi,Others,Xiaomi Black Shark Helo,Mic Issues,screen replacement,100
Xiaomi,Others,Xiaomi Black Shark 2,Back glass,screen replacement,100
Xiaomi,Others,Xiaomi Black Shark,Screen / LCD,screen replacement,100
Xiaomi,Others,Xiaomi Pocophone F1,Battery,screen replacement,100
Sony,Z Series,Sony Xperia Z5 Premium,Charging port,screen replacement,100
Sony,Z Series,Sony Xperia Z5 Compact,Speaker,screen replacement,100
Sony,Z Series,Sony Xperia Z5,Front Camera,screen replacement,100
Sony,Z Series,Sony Xperia Z4 Plus,Rear Camera,screen replacement,100
Sony,Z Series,Sony Xperia Z4 Tablet,Mic Issues,screen replacement,100
Sony,Z Series,Sony Xperia Z3 Compact,Back glass,screen replacement,100
Sony,Z Series,Sony Xperia Z3 Plus,Screen / LCD,screen replacement,100
Sony,Z Series,Sony Xperia Z3,Battery,screen replacement,100
Samsung,S Series,Samsung S10 plus,Charging port,screen replacement,100
Samsung,S Series,Samsung S10e,Speaker,screen replacement,100
Samsung,S Series,Samsung S10,Front Camera,screen replacement,100
Samsung,S Series,Samsung S9 Plus,Rear Camera,screen replacement,100
Samsung,S Series,Samsung S9,Mic Issues,screen replacement,100
Samsung,S Series,Samsung S8 Plus,Back glass,screen replacement,100
Samsung,S Series,Samsung S8,Screen / LCD,screen replacement,100
Samsung,S Series,Samsung S7 Edge,Battery,screen replacement,100
Samsung,S Series,Samsung S7,Charging port,screen replacement,100
Samsung,S Series,Samsung S6 Edge Plus,Speaker,screen replacement,100
Samsung,S Series,Samsung S6 Edge,Front Camera,screen replacement,100
Samsung,S Series,Samsung S6 Active,Rear Camera,screen replacement,100
Samsung,S Series,Samsung S6,Mic Issues,screen replacement,100
Samsung,S Series,Samsung S5,Back glass,screen replacement,100
Samsung,S Series,Samsung S5 Mini Plus,Screen / LCD,screen replacement,100
Samsung,S Series,Samsung S5 Active,Battery,screen replacement,100
Samsung,S Series,Samsung S5 LTE,Charging port,screen replacement,100
Samsung,S Series,Samsung S4,Speaker,screen replacement,100
Samsung,S Series,Samsung S4 Active,Front Camera,screen replacement,100
Samsung,S Series,Samsung S4 Mini,Rear Camera,screen replacement,100
LG,LG Series,LG Leon,Mic Issues,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S7 Plus T970 T976B,Back glass,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S7 T870 T875 T876B,Screen / LCD,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S6 Lite P610 P615,Battery,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S6 T860 T865,Charging port,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S3 T820 T825,Speaker,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S2 9.7 T813 T819,Front Camera,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S2 9.7 T810 T815,Rear Camera,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S2 8.0 T710 T715,Mic Issues,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S2 8.0 T713 T719,Back glass,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S 8.4 T700 T705,Screen / LCD,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S 10.5 T800 T805,Battery,screen replacement,100
Samsung,S Series,Samsung S3,Charging port,screen replacement,100
Samsung,S Series,Samsung S3 Mini,Speaker,screen replacement,100
Samsung,S Series,Samsung S2,Front Camera,screen replacement,100
Samsung,S Series,Samsung S i9000,Rear Camera,screen replacement,100
Samsung,S Series,Samsung S Duos 7562,Mic Issues,screen replacement,100
Samsung,A Series,Samsung A70,Back glass,screen replacement,100
Samsung,A Series,Samsung A50,Screen / LCD,screen replacement,100
Samsung,A Series,Samsung A30,Battery,screen replacement,100
Samsung,A Series,Samsung A20,Charging port,screen replacement,100
Samsung,A Series,Samsung A9,Speaker,screen replacement,100
Samsung,A Series,Samsung A8 Plus,Front Camera,screen replacement,100
Samsung,A Series,Samsung A8 SMA800,Rear Camera,screen replacement,100
Samsung,A Series,Samsung A8 SMA530F,Mic Issues,screen replacement,100
Samsung,A Series,Samsung A7 SMA720F,Back glass,screen replacement,100
Samsung,A Series,Samsung A7 SMA710,Screen / LCD,screen replacement,100
Samsung,A Series,Samsung A7,Battery,screen replacement,100
Samsung,A Series,Samsung A5 (2017),Charging port,screen replacement,100
Samsung,A Series,Samsung A5 (2016),Speaker,screen replacement,100
Samsung,A Series,Samsung A5 (2015),Front Camera,screen replacement,100
Samsung,A Series,Samsung A3 (2017),Rear Camera,screen replacement,100
Samsung,A Series,Samsung A3 (2016),Mic Issues,screen replacement,100
Samsung,A Series,Samsung A3 (2015),Back glass,screen replacement,100
Samsung,A Series,Samsung Ace 3 S7270,Screen / LCD,screen replacement,100
Samsung,A Series,Samsung Ace 3 S7275,Battery,screen replacement,100
Samsung,A Series,Samsung Ace 2 S7560,Charging port,screen replacement,100
Samsung,A Series,Samsung Ace Plus S7500,Speaker,screen replacement,100
Samsung,J Series,Samsung J8 Plus 2018,Front Camera,screen replacement,100
Samsung,J Series,Samsung J7 Pro J730,Rear Camera,screen replacement,100
Samsung,J Series,Samsung J7 Core,Mic Issues,screen replacement,100
Samsung,J Series,Samsung J8 2018,Back glass,screen replacement,100
Samsung,J Series,Samsung J7 Perx,Screen / LCD,screen replacement,100
Samsung,J Series,Samsung J7 Prime,Battery,screen replacement,100
Samsung,J Series,Samsung J7 SMJ700,Charging port,screen replacement,100
Samsung,J Series,Samsung J7 SMJ710,Speaker,screen replacement,100
Samsung,J Series,Samsung J5 SMJ500,Front Camera,screen replacement,100
Samsung,J Series,Samsung J5 SMJ510,Rear Camera,screen replacement,100
Samsung,J Series,Samsung J5 Prime,Mic Issues,screen replacement,100
Samsung,J Series,Samsung J5 Pro J530,Back glass,screen replacement,100
Samsung,J Series,Samsung J5 J500,Screen / LCD,screen replacement,100
Samsung,J Series,Samsung J3,Battery,screen replacement,100
Samsung,J Series,Samsung J3 J330,Charging port,screen replacement,100
Samsung,J Series,Samsung J2,Speaker,screen replacement,100
Samsung,J Series,Samsung J1 J100,Front Camera,screen replacement,100
Samsung,J Series,Samsung J1 Mini J105,Rear Camera,screen replacement,100
Samsung,J Series,Samsung J1 Ace J110,Mic Issues,screen replacement,100
Samsung,J Series,Samsung J1 SMJ120,Back glass,screen replacement,100
Samsung,Note Series,Samsung Note 9,Screen / LCD,screen replacement,100
Samsung,Note Series,Samsung Note 8,Battery,screen replacement,100
Samsung,Note Series,Samsung Note Edge,Charging port,screen replacement,100
Samsung,Note Series,Samsung Note 7,Speaker,screen replacement,100
Samsung,Note Series,Samsung Note 5,Front Camera,screen replacement,100
Samsung,Note Series,Samsung Note 4,Rear Camera,screen replacement,100
Samsung,Note Series,Samsung Note 3,Mic Issues,screen replacement,100
Samsung,Note Series,Samsung Note 2,Back glass,screen replacement,100
Samsung,Note Series,Samsung Note N7000,Screen / LCD,screen replacement,100
Samsung,C Series,Samsung C7 Pro,Battery,screen replacement,100
Samsung,C Series,Samsung C7,Charging port,screen replacement,100
Samsung,C Series,Samsung C5 Pro,Speaker,screen replacement,100
Samsung,C Series,Samsung C5,Front Camera,screen replacement,100
Samsung,C Series,Samsung Core Prime,Rear Camera,screen replacement,100
Samsung,Other Models,Samsung Mega 6.3,Mic Issues,screen replacement,100
Samsung,Other Models,Samsung Mega 5.8,Back glass,screen replacement,100
Samsung,Other Models,Samsung Express,Screen / LCD,screen replacement,100
Samsung,Other Models,Samsung Alpha,Battery,screen replacement,100
Samsung,Other Models,Samsung W I8150,Charging port,screen replacement,100
Samsung,Other Models,Samsung Xcover,Speaker,screen replacement,100
Samsung,Other Models,Samsung Nexus i9250,Front Camera,screen replacement,100
Samsung,Other Models,Samsung Nexus i9020,Rear Camera,screen replacement,100
Samsung,Other Models,Samsung Nexus i9023,Mic Issues,screen replacement,100
Oppo,R Series,Oppo R17 Pro,Back glass,screen replacement,100
Oppo,R Series,Oppo R17,Screen / LCD,screen replacement,100
Oppo,R Series,Oppo R15,Battery,screen replacement,100
Oppo,R Series,Oppo R11s Plus,Charging port,screen replacement,100
Oppo,R Series,Oppo R11s,Speaker,screen replacement,100
Oppo,R Series,Oppo R11,Front Camera,screen replacement,100
Oppo,R Series,Oppo R11 Plus,Rear Camera,screen replacement,100
Oppo,R Series,Oppo R9s Plus,Mic Issues,screen replacement,100
Oppo,R Series,Oppo R9s,Back glass,screen replacement,100
Oppo,R Series,Oppo R9 Plus,Screen / LCD,screen replacement,100
Oppo,R Series,Oppo R9,Battery,screen replacement,100
Oppo,R Series,Oppo R7 Plus,Charging port,screen replacement,100
Oppo,R Series,Oppo R7s,Speaker,screen replacement,100
Oppo,R Series,Oppo R7,Front Camera,screen replacement,100
Oppo,A Series,Oppo A79,Rear Camera,screen replacement,100
Oppo,A Series,Oppo A77,Mic Issues,screen replacement,100
Oppo,A Series,Oppo A73,Back glass,screen replacement,100
Oppo,A Series,Oppo A53,Screen / LCD,screen replacement,100
Oppo,A Series,Oppo A57,Battery,screen replacement,100
Oppo,A Series,Oppo A37,Charging port,screen replacement,100
Oppo,A Series,Oppo AX7,Speaker,screen replacement,100
Oppo,A Series,Oppo AX5s,Front Camera,screen replacement,100
Oppo,A Series,Oppo AX5,Rear Camera,screen replacement,100
Oppo,A Series,Oppo A3s,Mic Issues,screen replacement,100
Oppo,Other Models,Oppo F1 Plus,Back glass,screen replacement,100
Oppo,Other Models,Oppo F1s A59,Screen / LCD,screen replacement,100
Oppo,Other Models,Oppo F1,Battery,screen replacement,100
Oppo,Other Models,Oppo Find X,Charging port,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S4 T830 T835,Speaker,screen replacement,100
Samsung Tab,S Series,Galaxy Tab S5e T720 T725,Front Camera,screen replacement,100
Samsung Tab,Note Series,Galaxy Note 8.0 N5110,Rear Camera,screen replacement,100
Samsung Tab,S Series,Galaxy Note 8.0 N5100,Mic Issues,screen replacement,100
Samsung Tab,Note Series,Galaxy Tab Note 10.1 N8000,Back glass,screen replacement,100
Samsung Tab,Note Series,Galaxy Tab Note 10.1 N8020,Screen / LCD,screen replacement,100
Samsung Tab,Note Series,Galaxy Note Tab 10.1 P600,Battery,screen replacement,100
Samsung Tab,A Series,Galaxy Tab A7 10.4 2020 T500 T505,Charging port,screen replacement,100
Samsung Tab,A Series,Galaxy Tab A 8.0 T380 T385,Speaker,screen replacement,100
Samsung Tab,A Series,Galaxy Tab A 8.0 T350 T355,Front Camera,screen replacement,100
Samsung Tab,A Series,Galaxy Tab A 7.0 T280 T285,Rear Camera,screen replacement,100
Samsung Tab,A Series,Galaxy Tab A 9.7 T550,Mic Issues,screen replacement,100
Samsung Tab,A Series,Galaxy Tab A 10.5 T590 T595,Back glass,screen replacement,100
Samsung Tab,A Series,Galaxy Tab A 10.1 T580 T585,Screen / LCD,screen replacement,100
Samsung Tab,A Series,Galaxy Tab A 8.0 T290 T295,Battery,screen replacement,100
Samsung Tab,A Series,Galaxy Tab A 10.1 T510 T515,Charging port,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 4 10.1 T530,Speaker,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 4 8.0 T330,Front Camera,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 4 7.0 T230,Rear Camera,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab Pro 12.2 P900,Mic Issues,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab Pro 10.1 T520,Back glass,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab Pro S W700,Screen / LCD,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab E 9.6 T560,Battery,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 7.0 P1000,Charging port,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 10.1 P7500,Speaker,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 8.9 P7300,Front Camera,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab Active T365,Rear Camera,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab N5120,Mic Issues,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 2 7.0 P3110,Back glass,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 2 10.1 P5100,Screen / LCD,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 3 8.0 T311,Battery,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 3 8.0 T310,Charging port,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 3 7.0 T211,Speaker,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 3 7.0 T210,Front Camera,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 3 Lite T110,Rear Camera,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 3 Lite T111 3G,Mic Issues,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 3 10.1 P5200,Back glass,screen replacement,100
Samsung Tab,Other Models,Galaxy Tab 3 8.0 P3200,Screen / LCD,screen replacement,100
OnePlus,OP Series,OnePlus 6T,Battery,screen replacement,100
OnePlus,OP Series,OnePlus 5T,Charging port,screen replacement,100
OnePlus,OP Series,OnePlus 6,Speaker,screen replacement,100
OnePlus,OP Series,OnePlus 5,Front Camera,screen replacement,100
OnePlus,OP Series,OnePlus 3T,Rear Camera,screen replacement,100
OnePlus,OP Series,OnePlus 3,Mic Issues,screen replacement,100
OnePlus,OP Series,OnePlus 2,Back glass,screen replacement,100
OnePlus,OP Series,OnePlus 2 Mini,Screen / LCD,screen replacement,100
OnePlus,OP Series,OnePlus X,Battery,screen replacement,100
OnePlus,OP Series,OnePlus One,Charging port,screen replacement,100
OnePlus,OP Series,OnePlus Mini,Speaker,screen replacement,100
Sony,Z Series,Sony Xperia Z2,Front Camera,screen replacement,100
Sony,Z Series,Sony Xperia Z2 Tablet,Rear Camera,screen replacement,100
Sony,Z Series,Sony Xperia Z1 L39h,Mic Issues,screen replacement,100
Sony,Z Series,Sony Xperia Z1 Compact,Back glass,screen replacement,100
Sony,Z Series,Sony Xperia Z Ultra,Screen / LCD,screen replacement,100
Sony,Z Series,Sony Xperia Z L36h,Battery,screen replacement,100
Sony,X series,Sony Xperia XA2,Charging port,screen replacement,100
Sony,X series,Sony Xperia XA2 Ultra,Speaker,screen replacement,100
Sony,X series,Sony Xperia XA1 Ultra,Front Camera,screen replacement,100
Sony,X series,Sony Xperia XA1 Plus,Rear Camera,screen replacement,100
Sony,X series,Sony Xperia XA1,Mic Issues,screen replacement,100
Sony,X series,Sony Xperia X Compact,Back glass,screen replacement,100
Sony,X series,Sony Xperia X,Screen / LCD,screen replacement,100
Sony,X series,Sony Xperia X12,Battery,screen replacement,100
Sony,X series,Sony Xperia X10,Charging port,screen replacement,100
Sony,X series,Sony Xperia X8,Speaker,screen replacement,100
Sony,X series,Sony Xperia XZ2,Front Camera,screen replacement,100
Sony,X series,Sony Xperia XZ Premium,Rear Camera,screen replacement,100
Sony,X series,Sony Xperia XZ,Mic Issues,screen replacement,100
Sony,Other Models,Sony Xperia Performance,Back glass,screen replacement,100
Sony,X series,Sony Xperia Arc X12,Screen / LCD,screen replacement,100
MS Surface,MS Series,Microsoft surface Pro 6,Battery,screen replacement,100
MS Surface,MS Series,Microsoft surface Pro 5,Charging port,screen replacement,100
Sony,X series,Sony Xperia Acro S Lt26w,Speaker,screen replacement,100
MS Surface,MS Series,Microsoft surface Pro 4,Front Camera,screen replacement,100
Sony,X series,Sony Xperia M C1904,Rear Camera,screen replacement,100
Sony,Other Models,Sony Xperia P,Mic Issues,screen replacement,100
MS Surface,MS Series,Microsoft surface Pro 3,Back glass,screen replacement,100
MS Surface,MS Series,Microsoft surface Pro 2,Screen / LCD,screen replacement,100
MS Surface,MS Series,Microsoft Surface Book,Battery,screen replacement,100
Sony,Other Models,Sony Xperia P,Charging port,screen replacement,100
Sony,Other Models,Sony Xperia S,Speaker,screen replacement,100
Sony,Other Models,Sony Xperia Sola MT27,Front Camera,screen replacement,100
Sony,Other Models,Sony Xperia M4 Aqua,Rear Camera,screen replacement,100
Sony,Other Models,Sony Xperia U ST25i,Mic Issues,screen replacement,100
Sony,Other Models,Sony Xperia Go ST27,Back glass,screen replacement,100
Sony,Other Models,Sony Xperia ZR C5503,Screen / LCD,screen replacement,100
Sony,Other Models,Sony Xperia Play R800,Battery,screen replacement,100
Sony,Other Models,Sony Xperia T2 Ultra,Charging port,screen replacement,100
Google,Google Pixel,Google Pixel 3A XL,Speaker,screen replacement,100
Sony,Other Models,Sony Ericsson Xperia Neo,Front Camera,screen replacement,100
MS Surface,MS Series,Microsoft Lumia 950 XL,Rear Camera,screen replacement,100
Google,Google Pixel,Google Pixel 3A,Mic Issues,screen replacement,100
Sony,Other Models,Sony Xperia SP,Back glass,screen replacement,100
Sony,Other Models,Sony Xperia V,Screen / LCD,screen replacement,100
Sony,Other Models,Sony Xperia C6,Battery,screen replacement,100
Sony,Other Models,Sony Xperia L1,Charging port,screen replacement,100
Sony,Other Models,Sony Xperia T3 M50W,Speaker,screen replacement,100
Sony,Other Models,Sony Xperia tipo ST21i,Front Camera,screen replacement,100
Motorola,G Series,Moto G6,Rear Camera,screen replacement,100
Google,Google Pixel,Google Pixel 3 XL,Mic Issues,screen replacement,100
Motorola,G Series,Moto G4 Plus,Back glass,screen replacement,100
Motorola,G Series,Moto G4 Play,Screen / LCD,screen replacement,100
Motorola,G Series,Moto G4,Battery,screen replacement,100
Motorola,G Series,Moto G3,Charging port,screen replacement,100
Google,Google Pixel,Google Pixel 3,Speaker,screen replacement,100
Motorola,G Series,Moto G2 XT1068,Front Camera,screen replacement,100
Motorola,G Series,Moto G XT1032,Rear Camera,screen replacement,100
Google,Google Pixel,Google Pixel 2 XL,Mic Issues,screen replacement,100
Motorola,X Series,Moto X2 XT1096,Back glass,screen replacement,100
Google,Google Pixel,Google Pixel 2,Screen / LCD,screen replacement,100
Motorola,X Series,Moto X Style,Battery,screen replacement,100
MS Surface,MS Series,Microsoft Lumia 950,Charging port,screen replacement,100
Google,Google Pixel,Google Pixel XL,Speaker,screen replacement,100
Motorola,X Series,Moto X Force,Front Camera,screen replacement,100
